date,year,text,
Aug-93,1993,binary copies of R posted,
Jun-95,1995,R offered as open source,
Mar-96,1996,r-testers mailing list started,
4/1/97,1997,mailing list commence,Version 0.16
4/23/97,1997,CRAN started,Version 0.49
12/5/97,1997,R becomes official part of GNU Project,Version 0.60
2/29/00,2000,first stable version,Version 1.0.0
10/4/04,2004,intoduced lazy loading,Version 2.0
4/22/10,2010,support for Win 64,2.11.0
4/14/11,2011,added mandatory namespace for packages,Version 2.14.0
3/30/12,2012,new load balancing functions,2.15.0
